Арыстарх, эпіскап 67
Арэшка А. 497
Асаўцоў Б. 1164.18
Асіпенка M. 1164.47
Асмалоўскі В. 667
Асмалоўскі C. 658
Астапенка Г. 1233
Астапчик С. 851, 1090
Асташонак Л. 1317
Асташэвіч C. 354
Астрога В. 109-111
Астроўская T. 190
Астроўскі P. 554
Астрэйка В. 1704.1, 1704.2
Атрахович К. (псэўд. Крапива К.) 188.2, 223, 521, 1374, 1611
Атраховіч А. 112
Атраховіч К. (псэўд. Крапіва К.) 163, 187, 188, 897, 1610, 1672
Атрощенко О. 58
Аутка А. 1901
Аўдзеева В. 1164.42
Аўдзеева H. 1164.55
Аўласенка Г. 1164.87
Аўраменка P. 1164.84
Аўсіевіч М. 645
Аўхімовіч М. 219
Афанасенко А. 815, 816
Афанасик Г 1007
Афанасьевъ Д. 976.2
Афнагель I. 333
Ахмед А. 413
Ахраменка В. 1329, 1342
Ахрыменка П. 206
Бабаев А. 220
Бабарэка Я. 1900.3-1900.5
Бабаян M. 1226.7
Бабер M. 1707
Бабёр Я. 117, 118
Бабец М. 1749
Бабкин А. 1478
Бабкова В. 52, 1353, 1354.1
Бабкова Л. 992.2
Бабосаў Я. 1402, 1805
Бабровіч Л. 855.7, 1067, 1098.1, 1231.1
Бабушкин Л. 220
Бабушкина В. 1684
Бабыр С. 568.3
Багамолаў Г. 425
Багамольнікава Н. 986.7
Багамольнікаў У. 98
Багатырова В. 1125
Багатыроў А. 1899
Багдановіч А. 1582.1.1, 1582.1.2
Багдановіч I. 210
Багдановіч M. 940
Багдановіч H. 533
Багдановіч Я. 119
Багдзевіч А 120, 1505
Багласаў С. 102
Багроўская А. 121
Багушэвіч Ф. 4, 100
Бадалей А. 985.4
Бадевнч З. 1373
Бадзевіч 3. 75, 122, 368
Бадзееў В. 1710
Бажэнаў Ю. 1402
Базанов В. 226
Базылёва Г. 1511
Байдакова H. 746, 1617, 1618
Байкоў M. 123, 124, 678.2, 1098, 1231, 1846
Байцоў Л. 1362
Бакадораў Ю. 277, 594
Бакач П. 125
Баландзіна Л. 1363
Балдзін I. 667
Балыкін М. 1366
Банасевіч M. 1164.36
Бандалетаў В. 820, 1109
Бандарчык В. 354, 1742, 1809, 1897.3-1897.6, 1903, 2022.5.2, 2156.4.1
Бандарэнка В. 855.7, 1067, 1098.1, 1231.1
Бандарэнка Г. 1064.2, 1064.3
Бандарэнка Т. 1353, 1354.1, 1354.2
Баравы Р. 126
Барадулін Р. 74
Баразна М. 127
Баранаў А. 1509
Баранаў I. 1940
Бараніч У 491,1764
Бараноў М. 1351
Бараноўскі А 1231
Бараноўскі I. 1897.6
Бараноўскі П. 1164.26
Бараноўскі Я. 1030, 1164.79, 1897.1, 1897.2
Бараўкова Л. 128
Бардовіч А. 129,130
Баркоў А. 792, 1927
Баркоўскі В. 33
Бародзіч А. 666
Бародзіч Т. 868.4
Барсава I. 1104
Барсовъ Н. 131
Барсукоў С. 651, 652
Барташевич А. 1960, 1961
Барташевич Г. 343
Барташэвіч А. 132
Барташэвіч Г 204, 1809
Бартмінскі Е. 433.3
Бартошевич Г. 1026, 1026.1
Бартошэвіч А. 2042
Баршчоў I. 1164.44
Баршчэўскі А. 133
Барыс С. 134, 135
Барысаў Г. 1164.13
Барысаў M. 1164.41
Барысевіч Ф. 1669
Барысенка М. 188
Барысюк Т. 136
Барысюк У. 47, 71, 136-141, 522, 1667
Барышаў Г. 1481.5,1481.10, 1481.20, 1481.24
Басава Г. 142
Басилов В. 2176.1
Басік С. 143
Баско А. 1393
Баслык Л. 464
Басова A. 1373
Батина Л. 59
Батура С. 1757
Батчукъ 144
Батюшковъ П. 1569
Баўтовіч М. 104
Баўтута Г. 1964
Баханьков А. 458, 721
Баханькоў А. 28, 45, 91, 105, 145-148, 239, 284, 316, 385, 698, 738, 751, 784, 785, 805, 873, 901, 914, 925, 996, 1076, 1261, 1300, 1438, 1672, 1672.2, 1735, 1783, 1795, 1844, 1921, 1946
Бахар М. 123
Бахта В. 344.1
Бахцееў Ф. 1226.16
Башлакоў M. 1164.22
Баянкоў П. 197
Баярышава Л 1339
Бедрицкая Л. 332, 966
Безденежных В 1396
Безлай Ф. 1135
Бейлина Д. 150
БейлінІ. 1226.9.1, 1226.13.2, 1226.13.3, 1226.14
Бейліна Д. 149
Бекиш В. 2001.3
Бекіш В. 151-153, 2001.1
Белазаровіч В. 304
Белайчук Т. 154
Белаказовіч Б. 2034
Белакурская Ж. 368
Беларусаў А. 397
Белая А. 552.2
Белая T. Р. 1332
Белая Таццяна 552.1
Беленький 3. 324
Белковский В. 1007
Белошевский А. 1019
Белы А. 475
Белы К. 1340
Белый В. 1363
Бельков В. 1159, 1159.1
Бельская С. 273, 1243
Бельскі А. 1070
Белявский О. 9
Белякоўскі Г. 229
Белясова Н. 235
Бенеш А. 663
Берастаў В. 1164.78
Бердичевец Л. 1007
Берднік С. 1755
Берднік Т. 230
Берестень Н. С. 224.4
Бержинскас В. 564
Берліна Г. 1164.3
Бернат М. 1164.5
Бернацкая Н. 661
Бернік В. 982
Берында П. 231
Бжазоўская Ф. 232
Бирилло Н. 568.1.1, 1135, 1287, 1380, 1381, 12
Бирюкова М. 603
Бирюкова О. 1566
Бібікаў Ю. 116
Більдзюкевіч Г. 1002
Бірг У. 54
Бірукова M. 568.4
Бірыла M. 52, 79, 88, 90, 128, 171.3, 236-245, 280, 285, 366, 566, 568.1-568.7, 632, 702, 868.1, 868.2, 872, 874, 920, 922, 1009, 1014, 1036, 1059, 1066, 1171, 1353, 1354.1, 1354.2, 1485, 1622, 1628, 1629, 1631, 1706.3-1706.5, 1728.3, 1729, 1769, 1816, 1842, 1882, 1944, 1981, 1985, 13
Бірылаў Л. 1164.37
Біч М. В. 1897.1-1897.5, 1903
Біч Міхась 432, 2018.2.1
Бічан А. 1164.69
Благутин В. 1712
Блажэвіч Р. 116
Бланар В. 1135
Блізнюк Т. 431.1, 431.7, 431.10, 431.12-431.14, 431.17, 431.19
Блінава Э. 1058
Бліодухо М. 1399
Бобарыко П. 1385
Бобровскій П. 976.1
Бобрык У. 908, 910, 986.4, 986.6, 986.8, 1498
Бобырь С. 603
Богаў У. 1164.16, 1164.46
Богдан М. 1566
Богдан Т. 992.1
Богданович А. 1684
Богдановский А. 273
Богдевич И. 1007
Богнат Р. 141, 530
Богуславскій Т. 248
Богуш А. 252
Богуш С. 249, 1505
Бодак А. 1491
Бойка М. 219
Бойка У. 250, 1069
Бойович Д. 745
Бойцов Л. 53
Бокун А. 1306
Бокун Г. 1710
Болбас В 251
Болбас М. 219, 1234
Болсун А 218, 252, 253, 1481.6, 1481.17, 1481.30, 1481.35
Бондарцева-Монтеверде В. 254
Бондарчик В. 907, 1022
Бордович А. 228
Борисевич Н. А. 188.2, 1090
Борисевич H. Н. 555
Борисевич Ф. 101.1-101.3
Борисов И. 1712
Борисова Е. 1480.3
Борковский В. 669.2.1
Бородина В. 220
Борыс В. 568.1
Ботвинник М. 255
Боўті. І. 103
Боўш В. 1897.5, 1897.6
Бохан Н. 256
Бояринова Л. 1480.4,1480.5
Бравер Е. 1778
Бракала Н. 1051
Браніцкі Г. 1236
Браноўская Л. 1121
Браўн А. 11, 12
Брилевский О. 1392
Бровка П. 223, 1026, 1027, 1065
Бровко П. 188.2
Бромлей Ю. 2176.1
Броўка П. 187, 188
Бруевич Ю. 1961
Брук С. 2176.1
Брыль I. (= Я.) 179, 1143, 1695, 1953.2
Брэгер Г. 257, 956
Бубала А 1164.16
Бубен С. 258
Бубновіч I. 259, 1505
Буга У. 888
Бугаёў В. 1162
Бугаёў Дз. 407.1, 409, 938.1, 1070
Будаев Д. 1516
Будай У. 260
Будзіловіч А. 93
Будзько А. 2010, 2011
Будзько У. Д. 98
Будзько Уладзімір 2035 4
Будинас Е. 1747
Будкевич А. 273
Будовниц И 261
Будько В 101.1,568.1.1
Буза М. 1678
Бузук М. 653,983, 1359
Бузук П 262,1711
Букатевич Н. 1110
Букринская И. 342
Булавко А. 1243
Булаўка А. 1400,1900
Булахаў M. 18, 263, 299, 991.1, 991.5-991.7, 991.9-991.13, 1611, 1632
Булахов М. 264
Булацкі Р. 1196
Булгакаў В. 185,286.1,1201.2, 1574.1, 1576.1,1577.1, 1578.2, 1579.5, 1580.1, 1581.3, 1582.2, 1583.1, 1584.2, 1585.1
Булгаков В. 227
Булгаковскій Д. 265
Булдакова Э. 1778
Булыка А. 95, 165, 266-271, 431, 1377, 1499
Булыка С. 1399
Булыко А. 319
Бумбляускас А. 2064
Бунчук I. 1671.1
Бурак А. 176.3
Бурак И. 1372
Бурак I. 1145
Бурак Л. 1354.1, 1354.2, 1485
Буракова Т. 9
Бурачонак У. 1164.77
Бурганская Т. 169
Бурсов Б. 226
Бурстын Ц. 1226, 1226.10, 1226.11, 1226.15
Бусел А. 9
Бусел М. 15
Буслов К. 1136
Бутаров Н. 1478
Бутрамееў У. 275
Бутэвіч А. 218, 276
Бутэвіч Т. 1002
Бухавец H. 1164.34
Бухель С. 1423
Буцько М. 206
Бушлякоў Ю. 286.1, 1071, 1201.2, 1574.1, 1576.1, 1577.1, 1578.2, 1579.5, 1580.1, 1581.3, 1582.2, 1583.1, 1584.2, 1585.1
Буяк А. 1308
Буяк Н. 137
Буяшоў В. 1363
Быкава Н. 868.2, 868.5
Быков К. 278
Былинин В. 1216
Бысюк Р. 1164.10
Бычук С. 1243
Бэрк П. 279
Бядрыцкая Г. 966.3
Бядуля 3. 100
Бязносік К. 1833
Бялінскі 16
Бялькевіч I. 280, 17
Бяльковіч В. 1164.32
Бяляева А. 1804.1-1804.3
Бярозкіна Н. 282
Бярэйшык Л. 434
Бяспалы А. 1507
Бяспалы Дз. 1900
Бяспамятных М. 666
Важнік С. 181
Вазнонене И. 273
Вазнячук Л. 1481.2, 1481.3, 1481.11, 1481.31-1481.33, 1481.37-1481.39
Вайніловіч Н. 181
Вайтковіч Г. 1707
Вайтовіч Н. 284, 285
Вайцюлевіч П. гл. Станкевіч Ян
Вайцянок В. 1164.27.1, 1164.27.2
Вайцяховіч 3. 287
Вайцяшэнка Б. 1504.22
Валаханович А. 813
Валахановіч A. 1164.81
Валевич P. 1476
Валевіч P. 1361, 1673
Валиконите И. 2064
Валодзіна Т. 288
Валочка Г. 289-291
Валошка А. 292
Валынец Т. 293, 294
Вальвачоў Р. 982
Ванагас А. 241
Ванкович Л. 1381
Ванькевіч А. 1496
Вараб’ёў У. VII
Варава Г. 295
Варанец В. 351
Варанцова В. 1234, 1400
Вардамацкі Л. 296
Вардомацкий Л. 1287, 1859
Варлыга А. гл. Гладкі Я.
Варыёцкі С. 1601
Василевичъ Н. 430.5
Василевская Л. 1042
Василевский Н 254
Васильев В. И. 815, 816
Васильев В. Н. 1754.3
Васильевъ В. 301
Васильков В. 302
Васілевіч Р. 1804.3
Васілевіч У. 195, 481, 1033, 1813, 1897.3-1897.6
Васіленка А. 1423
Васіленка О. 141, 530
Васілеўская Л. 1042
Васілеўскі М. 298, 299, 991.10
Васілец Т. 1349
Васілёнак В. 1013
Васілёнак C. 207.1.1, 213.1.1, 349, 1851.1.1.1
Васілёў А. 300
Васільеў В. 1749
Васількоў I. 303
Васілючак М. 304
Васюкович Л. 1378,1859
Васюковіч Л. 177, 305-307, 416, 967, 1100, 1239
Васючэнка П. 308
Ватаци Н. 222
Вашкевіч Л. 309
Вашкевіч Ю. 1771
Вашчатынcкая Н. 310, 311
Вежнавец В. 114
Вейзэ А. 2097, 2098, 2099, 2112, 2167
Велічковіч К. 1164.9
Венцэль Р. 1164.5
Верабей А. 210, 211
Верабей К. 18
Верас З. 312
Вераценнікава В. 425
Верашчака Ю. 313
Веренич В. 314
Верзун А. 808, 814, 815
Верна Р. 1127
Версоцкий В. 1775 Вертинский А. 813
Верхась У. 1164.24
Вештарт Г. 316, 319, 865, 1672 4
Вилькин Ф. 227
Винер Л. 321
Виноградов Н. 322
Витковский Н. 224.4
Відлога В. 1164.79
Віж М. 1854.1
Вікторка Л. 1646-1649
Вінаградаў В. 325
Вінакураў В. 320
Вінкевіч А. 1164.84
Вінярская T. 432, 2018.2.1
Вітушка C. 216
Вітушка У. 1504.20, 1504.24
Владимиров А. 326
Владимировъ П. 327, 328, 19
Владимирская И. 329
Власов А. 1380
Власт гл. Ластоўскі В.
Власюк E. 256
Воднеў У. 334
Возенчук А. 1159
Воінаў А. 103
Войнич И. 228
Войцык М. 97
Волкаў І. І. 336, 1164.20, 1164.72
Воловичь Г. 337
Волочко А. 851
Вольны (сапр. Панькоў) М. 20
Вольскі А. 339, 1003
Вольскі В. Ц. 1164.64
Вольскі Віт. 340, 341
Вольфсон С. 855.7, 1067, 1098.1, 1226, 1226.1, 1231.1
Воробьев В. 1242
Воробьева Т. 21.1, 21.2, 1778
Ворожбнцкій Ф. 1087
Воўк-Левановіч Я. 345
Врбова Я. 745
В-ст гл. Ластоўскі В.
Выгонная Л. 178, 352, 433.1, 433.3, 865, 21
Вынаев Г 1221.2
Вынаеў Г 116
Вырко М. 1510
Высотский С. 1310
Высоцкая Н. 315, 355, 356, 524, 590, 1705
Выхота В. 359-361, 22
Вэйнгер М. 362
Вягера У. 1164.30
Вязович Ю. 1396
Вязовіч Ю. 574
Вялічка У. 1966
Вяргей В. 364
Вярзілін Н. 11, 12
Вярхоў П. 431.1, 1770
Вярэніч В. 365, 366
Вячорка В. 969, 1023, 1144, 1414, 1473,7
Габрусевіч C. А. 1164.7
Габрусь Т. 102, 103, 367, 823, 1668, 1807
Гавраннна E. Н. 1960
Гавриленко В. 369-381
Гагарына С. 1675
Гайдук В. 114
Гайдук Л. 158, 159
Гайдук М. 158, 159, 382, 383
Гайдукевіч I. 148, 384, 385
Галай В. 386-388, 1123
Галай I. 60, 389, 390, 1348
Галаўко С. 2031
Галаўкоў А. 391
Галенчанка Г. 108, 393, 903, 905, 1603, 1758, 1897.4-1897.6
Галіцкі А. 1164.12
Галкін І. 1064.2, 1111
Галкоўская Г. 574
Галота А. 1164.81
Галтеев В. 323
Галубовіч А. 1011.2
Галубок Э. 194, 494, 533
Галуза С. 1007
Галюжин С. 1935
Галюжын С. 1935
Галяк Л. 392
Гамзовіч Р. 431.4-431.8,431.11, 431.13, 431.16, 431.17, 431.19-431.21
Гаммал Г. 551
Гануш А. 956
Ганушчанка Н. 1804.1-1804.3
Ганчарова Н. 2110
Ганчароў А. 1093
Ганчароў К. 1226.12,1226.13.1, 1226.16, 1226.17
Ганчароў M. 173, 524
Ганчароў Ф. 1164.46
Ганчарук І. 393
Ганчарык М. 394, 644
Гапава В. 2094.2
Гапанович Б. 228
Гапановіч П. 1632,1672
Гапоненка В. 395, 1771
Гарагляд А. 183.9.1.1
Гарбацэвіч В. 397
Гарбачова К. 1332
Гарбачова Э. 659
Гарбачоў M. 1164.46 Гарбачык М. Р. 398
Гарбінскі Ю. 214
Гардзееў Б. 1164.55
Гардзейка У. 1746
Гардзіенка А. 1702,1930
Гардзіцкі А. 211, 1203, 1205
Гардун С. 979.5
Гармашъ П. 23
Гарошка Л. (псэўд. Іскра Л., Каваль П. = Kaval Р.) 24, 183.9.1.1, 363, 598, 599, 608, 864, 24-26
Гартны Ц. 2, 407, 100
Гарун А. 100
Гарэцкі Г. 411
Гарэцкі М. 408-412, 700
Гарэцкі Р. 2018.2.1
Гассиева И. 413
Гасянкоў У. 1164.62
Гаўрош Н. 414-420, 481, 1168.1, 1168.2, 1813, 1949.2
Гаўруцікаў А. 1164.29, 1164.29.1, 1164.29.2
Гаўрылаў В. 1941
Гацак В. 343
Гацкевіч Г. 1053
Гашкевіч А 421
Г ашынскі Л. 1164.1
Гвоздзеў В. 931
Гелер Б. 1509
Геніюш Л. 1436
Герасимов В. 1566
Герасимович Г. 1738-1740
Герасімовіч У. 367, 826, 954
Герд А. 893, 1264.1-1264.9
Германовіч І. 202, 426-428, 27
Герштейн Е. 1398
Герштейн Ф. 1398
Гесь А. 429
Гетаў В. 98, 99
Гильтебрандтъ П. 100.2, 430
Гиро В. 1132.3
Гілевіч Ж. 1164.6
Гілевіч Ніл 74, 894, 1085, 1197, 1198, 1942
Гілевіч Ніна 1198
Гілеп У. 1474
Гімпель I. 339
Гіндзін Ю. 1164.80
Гладкая В. 441
Гладкі Я. (псэўд. Варлыга А. = = Varlyha A.) 183.9.1.1, 297, 2163
Глаз A. 1164.4
Глебка Г. 1565.2
Глебка П. 63,199.1, 200, 200.1.1, 207.2.1.1, 1222, 1374, 1950
Глускина С. 1264.1-1264.10
Глушко А 1023, 1306, 1473
Гнеўка Э. 1164.49, 1164.52, 1164.64, 1164.76
Гніламёдаў У. 443, 1970
Говард М. 444
Голад Д 1424
Голановъ И. 445
Голобоб Н. 1371
Головацкій Я. 31.1-31.9, 41, 42, 1432
Голотузовъ О. 446
Голуб Т. 408.2, 409.2, 409.3, 409.5
Голубев В. 811.1,811.3
Голубева Н. 342
Голубеў В. 447, 1603
Гоманава Л. 45
Гончар М. 1896
Гончарик М. 1131
Гончаров Н. 1775
Гончарова Н. 449
Горбач О. 450
Горбачевскій Н. 31.1, 31.2, 31.3, 31.4, 31.5, 41, 42, 451
Горбачук В. 1654
Горваль А. 1045
Горелова E. 1371
Гореньков В. 452
Гореньков С. 452
Горецкий Р. 1243
Горленка В. 453, 985.2, 1078
Городецкий М. 454
Горшкова С. 1754.1, 1754.3
Горшкова Т. 810
Горын П. 1226, 1226.7, 1226.9.2, 1226.9.3
Горючко П. 1046
Горяевъ Н. 455
Готовец О. 456
Готфрыд Л. 1226.3
Гошкевичъ I. 457
Грабайло Л. 768
Грабеншчыкова Н. 140
Грабінскі Б. 28
Грабчиков С. 458-462, 29
Грабчыкаў С. 94.1
Граве Л. 1480.1
Грамыка В. 524
Грамыка Л. 1093
Грачухіна С. 1768
Грачыха Т. 465
Гребенкин Н. 1019
Гребнеръ А. 30
Грекова Б. 977
Григоревич В. 774
Григоровичъ И. 31
Гриндберг C. 747
Гриневич С. 21.1,21.2
Гриц Н. 235
Гриценко Л. В. 813
Гриценко Л. К. 496
Грицютенко И. 1110
Грищук А. 1774
Грубов В. 1754.3
Грудзіна А. 467
Груль I. 351
Грунтоў І. 792
Груца А. 431.7-431.9,431.12, 431.13-431.16, 431.20, 431.21, 468, 469
Груцо А. 431.2, 431.3, 431.14, 431.15, 868.1-868.3, 868.5
Груша А. 1011.2
Грыбоўскі Ю. 470
Грыгаровіч І. 102
Грыгор’ева Л. 151, 152, 1485
Грыгор’еў М 471 Грынавецкене А. 997, 1487
Грынавецкене Я. 1014
Грынберг Р. 1751
Грынблат М. 200, 354, 472, 494, 533, 935, 1222, 1252, 1809, 32
Грыневецкене А. 473
Грынкевіч В. 1617
Грынцэвіч Т. 1363
Грынчык М. 531, 614, 1634, 1942
ГрыцальІ. 474
Грыцкевіч А. 432, 475, 1474, 1603, 1897.1-1897.6, 1903, 2018.2.1
Грыцкевіч В. 1481.18
Грыцко Л . 1164.11
Грышкевіч В. 2027
Грышчанка М. 1804.1, 1804.2
Гугнин А. 1216.1
Гудавичюс Э. 2064
Гудзень Н. 1619
Гужалоўскі А. 476
Гуз А. 1333
Гузаў В. 1683
Гузнякоў М. 1164.14
Гулицкий Н. 1380
Гуліцкая В. 985.7, 986.1-986.6, 989.2-989.4, 1564
Гуліцкі М. 477, 1631, 1856.1
Гуляй П. 351
Гуняжанка I. 1015
Гурецкий В. 1242
Гурков В. 479
Гурковіч Л. 348
Гуркоў У. 1903
Гурло А. 1711
Гурский Б. H. 1393
Гуртыг К. 480
Гурын В. 1164.60
Гурыновіч А. 33
Гурьянов И. 1090
Гусак А. 481
Гусак Г. 481
Гусаков Ю. 1767
Гусакоўская Л. 666
Гусева Д. 1339
Гусева Н. 222
Гутараў I. 200,207.1.1,213.1.1, 349, 1851.1.1.1
Гутиев Н. 1775
Гушча Т. гл. Колас Я.
Давыдава Г. 1361
Давыдзенка И. 214
Дайлидова Г. 1555
Дайлідава Г. 822
Далінчук А. 1164.37
Дамарад К. 1164.81
Данілаў В. 661
Данілаў М. Я. 1164.3
Даніленка С. 588.2, 912, 1835
Данілеўскі А. 12
Даніловіч А. М. 1155
Даніловіч Антон (псэўд. Золак Я.) 1513
Даніловіч М. 485-490, 1505
Даніловіч Т. 1339
Данільчык З. 820,1109
Дарафееў А. 114, 325, 1828
Дарашкевіч M. 162
Дарожкін H. 1226.13.1
Дарошка M. 493
Даўгулевіч H. 495
Даўгяла Г. 985.3, 985.6
Дашкевіч Г. 1164.30
Дашкевіч C. 1093
Дембовецкій А. 1132
Дементьев В. 220  Демешко Л. 876
Демчук М. 809
Демьяновичъ А. 100.1
Денисов C. 1738-1740
Десницкая А. 860
Джарвіс Д. 1079
Дзегцяроў Г. 1164.1
Дземідовіч H. 497
Дзендзялеўскі I. 498
Дзерангоўская C. 1164.62
Дзераш A. 1804.2
Дзеружынскі A. 499
Дзісько H. 114-116, 246
Дзмітрачкоў П. 1897.3
Дзмітрыенка I. 1164.39
Дзюбайла П. 210
Дзядзенка З. 500
Дзядзюля M. 1164.19
Дзямбоўскі Дз. 571
Дзямешка Л. 929
Дзямід М. 930
Дзянічаў У. 202
Дзярновіч А. 81, 526, 696, 1056
Дзятчык Н. 578
Диковъ П. 1433,1533
Димитров Д. 745
ДнськоН. 1221.1,1221.2
Дмитриев П. 745
Дмитриева Т. 1027
Дмитріевь М. 34
Добровольскій В. 502-505
Добрянскій Ф. 31.18-31.23, 506
Добычина О. 21.2
Довгялло Д. 31.24, 31.25, 506, 1134.1
Довнар-Запольскій М. 507
Догіль Л. 1504.21
Долбйк М. 1221.1,1748
Долбік Р. 293
Долбін М. 1710
Доленга-Ходаковскій 3. 35, 36
Домбаль Т. 1226
Дорожкин Н. 254, 1453, 1754.1-1754.3
Дорошевич Э. 1136
Доўнар T. 792, 1927
Драбовіч Л. 1164.4
Драбудзька H. 508
Драгун В. 1661
Дражын У. 1164.66
Драздовіч Я. 37-39
Драздоў В. 1164.78
Древлянскій П. гл. Шпілевскій П.
Дробов Л. 875
Дробыш M. 1164.86
Дронава Т. 1164.6
Дронаў Ф. 1233
Друцкі-Падбярэскі Б. 2027
Друян Л. 510
Дрэйзін Ю. 183.7
Дубавец С. 511,7
Дубенецкий М. 1027, 1065.1
Дубенецкий С. 601
Дубенецкий Э. 601
Дубініна Д. 1592
Дубков В. 1678
Дубовик А. 512, 513
Дубовик Е. 513
Дубоўка У. 514
Дубровская С. 1477
Дубровскій П. П. 515
Дуброўская Е. 516
Дуброўская К. 1122
Дубянецкі С. 108, 1805
Дубянецкі Э. 517
Дударава В. 1804.3
Дудзько П. 1164.7
Дудик В. 1896
Дудко В. 772
Дудко Г. 772
Дуж-Душэўскі К. 518, 573
Дулеба Г. 519, 568.5-568.7
Думін С. 1897.4
Дунін-Марцінкевіч В. 2081,29
Дурново Н. 1435
Духвалов Л. 1370
Дучыц Л. 559
Дучыц У. 55
